borehole_id,mine_id,mine_name,easting,northing,depth_m,rock_type,mn_pct,fe_pct,sio2_pct,thickness_m,red,nir,swir,lst,data_origin
BH-INF-033,MN03,Tirodi,350.02,241.0,208.25,Quartzite,21.9,18.6,25.48,5.21,0.1343,0.4221,0.2795,33.14,CALIBRATED_EXPLORATION_INFILL
BH-INF-034,MN04,Sitapatore,88.29,179.78,312.72,Quartzite,21.15,23.71,26.36,3.53,0.1406,0.452,0.3458,33.05,CALIBRATED_EXPLORATION_INFILL
BH-INF-035,MN05,Chikla,672.34,328.54,379.11,Quartzite,27.06,20.22,23.4,6.32,0.1291,0.4217,0.308,32.01,CALIBRATED_EXPLORATION_INFILL
BH-INF-036,MN06,Dongri Buzurg,914.69,307.27,180.29,Mica Schist,39.62,8.33,21.81,16.14,0.1944,0.4179,0.2098,33.39,CALIBRATED_EXPLORATION_INFILL
BH-INF-037,MN07,Beldongri,416.04,251.12,191.37,Quartzite,20.06,23.76,26.32,5.14,0.1238,0.402,0.285,32.17,CALIBRATED_EXPLORATION_INFILL
BH-INF-038,MN08,Kandri,785.47,170.79,249.03,Mica Schist,38.2,13.75,25.89,8.59,0.1632,0.3962,0.2162,32.21,CALIBRATED_EXPLORATION_INFILL
BH-INF-039,MN09,Munsar,515.39,671.71,88.82,Quartzite,26.16,23.66,23.91,5.68,0.1215,0.3687,0.2151,32.68,CALIBRATED_EXPLORATION_INFILL
BH-INF-040,MN10,Gumgaon,89.23,453.75,271.12,Quartzite,28.46,17.0,23.51,7.9,0.1456,0.3968,0.2658,33.52,CALIBRATED_EXPLORATION_INFILL
BH-INF-041,MN01,Balaghat,231.18,570.92,254.23,Mica Schist,39.39,12.71,22.27,13.74,0.1131,0.3849,0.2163,31.09,CALIBRATED_EXPLORATION_INFILL
BH-INF-042,MN02,Ukwa,775.06,790.0,239.57,Quartzite,19.74,22.97,28.93,3.32,0.0834,0.4148,0.2984,30.51,CALIBRATED_EXPLORATION_INFILL
BH-INF-043,MN03,Tirodi,441.08,309.67,221.35,Mica Schist,34.18,13.42,24.49,9.35,0.1572,0.4267,0.2597,32.77,CALIBRATED_EXPLORATION_INFILL
BH-INF-044,MN04,Sitapatore,186.23,133.37,385.2,Quartzite,19.24,22.74,25.72,2.83,0.1185,0.3833,0.3288,34.71,CALIBRATED_EXPLORATION_INFILL
BH-INF-045,MN05,Chikla,789.57,398.97,414.45,Quartzite,23.99,18.63,24.07,6.63,0.1241,0.4048,0.3169,32.33,CALIBRATED_EXPLORATION_INFILL
BH-INF-046,MN06,Dongri Buzurg,786.69,362.76,345.73,Quartzite,22.79,20.88,28.57,7.28,0.1467,0.4108,0.3287,35.21,CALIBRATED_EXPLORATION_INFILL
BH-INF-047,MN07,Beldongri,324.03,148.52,316.77,Quartzite,28.81,17.61,27.03,5.55,0.1337,0.3912,0.2595,32.21,CALIBRATED_EXPLORATION_INFILL
BH-INF-048,MN08,Kandri,759.46,148.11,303.82,Mica Schist,37.79,11.53,26.04,8.68,0.1856,0.451,0.2579,31.46,CALIBRATED_EXPLORATION_INFILL
BH-INF-049,MN09,Munsar,527.84,586.75,202.9,Quartzite,27.62,18.33,27.06,6.11,0.1392,0.4411,0.2758,32.09,CALIBRATED_EXPLORATION_INFILL
BH-INF-050,MN10,Gumgaon,98.51,483.62,109.26,Mica Schist,33.42,14.1,23.03,7.7,0.1372,0.3779,0.1946,33.27,CALIBRATED_EXPLORATION_INFILL
BH-INF-051,MN01,Balaghat,297.98,555.35,223.18,Mica Schist,35.39,12.53,19.27,12.8,0.122,0.3984,0.2318,30.88,CALIBRATED_EXPLORATION_INFILL
BH-INF-052,MN02,Ukwa,825.88,727.09,387.26,Quartzite,29.35,21.14,24.67,5.33,0.097,0.407,0.2884,29.75,CALIBRATED_EXPLORATION_INFILL
BH-INF-053,MN03,Tirodi,390.47,459.31,262.14,Quartzite,19.61,24.61,29.26,4.83,0.1126,0.3904,0.2962,33.14,CALIBRATED_EXPLORATION_INFILL
BH-INF-054,MN04,Sitapatore,259.16,278.96,295.05,Quartzite,21.19,22.14,30.01,3.63,0.1257,0.3536,0.2717,33.2,CALIBRATED_EXPLORATION_INFILL
BH-INF-055,MN05,Chikla,651.98,428.12,245.79,Mica Schist,37.78,10.42,22.81,9.23,0.1379,0.4112,0.2388,31.41,CALIBRATED_EXPLORATION_INFILL
BH-INF-056,MN06,Dongri Buzurg,854.91,317.61,60.6,Mica Schist,33.71,13.68,23.46,11.61,0.1683,0.393,0.198,33.65,CALIBRATED_EXPLORATION_INFILL
BH-INF-057,MN07,Beldongri,331.05,317.48,176.1,Quartzite,18.0,22.04,32.84,1.99,0.1145,0.3776,0.278,33.44,CALIBRATED_EXPLORATION_INFILL
BH-INF-058,MN08,Kandri,850.03,246.97,77.05,Quartzite,24.02,21.88,28.29,5.03,0.1401,0.42,0.2684,32.55,CALIBRATED_EXPLORATION_INFILL
BH-INF-059,MN09,Munsar,495.89,566.48,365.8,Quartzite,22.73,25.28,27.3,5.38,0.1222,0.394,0.3078,32.63,CALIBRATED_EXPLORATION_INFILL
BH-INF-060,MN10,Gumgaon,83.42,399.4,414.47,Quartzite,29.41,21.25,25.53,7.06,0.1525,0.4148,0.3018,34.18,CALIBRATED_EXPLORATION_INFILL
BH-INF-061,MN01,Balaghat,280.39,555.77,184.73,Mica Schist,38.44,9.74,27.03,12.94,0.1257,0.427,0.2258,31.86,CALIBRATED_EXPLORATION_INFILL
BH-INF-062,MN02,Ukwa,873.31,709.56,309.51,Mica Schist,33.35,11.48,24.65,7.72,0.0973,0.4002,0.2504,31.11,CALIBRATED_EXPLORATION_INFILL
BH-INF-063,MN03,Tirodi,526.39,220.57,253.03,Quartzite,18.0,22.36,25.97,4.62,0.1162,0.3975,0.3166,33.68,CALIBRATED_EXPLORATION_INFILL
BH-INF-064,MN04,Sitapatore,192.13,322.69,374.6,Quartzite,20.94,20.72,29.01,2.83,0.1269,0.3974,0.3122,34.27,CALIBRATED_EXPLORATION_INFILL
BH-INF-065,MN05,Chikla,542.17,496.59,245.25,Quartzite,19.36,23.68,26.82,3.69,0.1188,0.4049,0.3038,32.98,CALIBRATED_EXPLORATION_INFILL
BH-INF-066,MN06,Dongri Buzurg,959.72,270.21,124.24,Mica Schist,39.98,7.7,18.0,14.05,0.1845,0.4243,0.2096,34.14,CALIBRATED_EXPLORATION_INFILL
BH-INF-067,MN07,Beldongri,365.16,60.26,265.18,Quartzite,18.0,22.34,26.87,2.94,0.1224,0.3933,0.2895,33.77,CALIBRATED_EXPLORATION_INFILL
BH-INF-068,MN08,Kandri,667.43,259.57,318.95,Quartzite,19.04,23.99,36.09,3.71,0.1239,0.3928,0.304,33.26,CALIBRATED_EXPLORATION_INFILL
BH-INF-069,MN09,Munsar,608.07,700.73,195.79,Quartzite,25.49,21.68,26.76,5.41,0.1264,0.3712,0.2483,33.27,CALIBRATED_EXPLORATION_INFILL
BH-INF-070,MN10,Gumgaon,242.04,364.69,160.12,Quartzite,25.1,20.48,24.75,5.13,0.1486,0.4145,0.2709,33.91,CALIBRATED_EXPLORATION_INFILL
BH-INF-071,MN01,Balaghat,138.69,553.14,99.85,Quartzite,26.72,20.46,25.38,8.35,0.1033,0.3766,0.229,32.24,CALIBRATED_EXPLORATION_INFILL
BH-INF-072,MN02,Ukwa,869.48,702.89,169.61,Mica Schist,34.11,10.49,22.6,6.5,0.0989,0.3938,0.2208,29.96,CALIBRATED_EXPLORATION_INFILL
BH-INF-073,MN03,Tirodi,299.78,249.69,324.65,Quartzite,19.71,23.8,28.13,4.1,0.1352,0.4412,0.3533,34.19,CALIBRATED_EXPLORATION_INFILL
BH-INF-074,MN04,Sitapatore,297.46,305.79,155.23,Quartzite,18.0,24.41,29.91,1.94,0.1381,0.4287,0.2932,34.27,CALIBRATED_EXPLORATION_INFILL
BH-INF-075,MN05,Chikla,680.94,514.31,148.13,Quartzite,26.67,20.88,23.92,5.73,0.1276,0.4083,0.2527,33.4,CALIBRATED_EXPLORATION_INFILL
BH-INF-076,MN06,Dongri Buzurg,974.68,339.54,105.24,Mica Schist,32.29,17.16,24.47,12.52,0.1656,0.4188,0.2291,33.93,CALIBRATED_EXPLORATION_INFILL
BH-INF-077,MN07,Beldongri,371.76,161.71,175.75,Quartzite,29.41,20.23,23.33,6.77,0.112,0.327,0.1961,31.02,CALIBRATED_EXPLORATION_INFILL
BH-INF-078,MN08,Kandri,829.07,220.17,391.44,Quartzite,25.16,23.66,24.09,5.42,0.1378,0.4323,0.3299,33.3,CALIBRATED_EXPLORATION_INFILL
BH-INF-079,MN09,Munsar,441.86,676.72,290.04,Quartzite,18.0,23.24,27.0,2.53,0.1107,0.3979,0.3148,33.33,CALIBRATED_EXPLORATION_INFILL
BH-INF-080,MN10,Gumgaon,216.15,414.63,174.9,Quartzite,28.79,19.18,21.27,8.53,0.1478,0.4046,0.2569,33.82,CALIBRATED_EXPLORATION_INFILL
BH-INF-081,MN01,Balaghat,315.2,455.35,74.49,Quartzite,24.46,20.89,25.2,8.35,0.1106,0.4263,0.2435,32.62,CALIBRATED_EXPLORATION_INFILL
BH-INF-082,MN02,Ukwa,779.25,651.05,319.12,Quartzite,27.35,21.91,24.59,6.08,0.0929,0.4001,0.2772,30.3,CALIBRATED_EXPLORATION_INFILL
BH-INF-083,MN03,Tirodi,403.73,291.47,295.99,Mica Schist,33.13,11.68,28.43,9.95,0.1362,0.3796,0.2473,31.9,CALIBRATED_EXPLORATION_INFILL
BH-INF-084,MN04,Sitapatore,174.0,257.64,109.92,Mica Schist,31.0,15.22,25.88,5.75,0.1255,0.3564,0.2011,32.07,CALIBRATED_EXPLORATION_INFILL
BH-INF-085,MN05,Chikla,640.72,380.49,175.38,Mica Schist,33.99,12.7,25.34,8.2,0.1334,0.3888,0.2142,32.09,CALIBRATED_EXPLORATION_INFILL
BH-INF-086,MN06,Dongri Buzurg,1011.8,160.07,176.0,Quartzite,23.86,21.83,24.53,8.38,0.1462,0.3809,0.247,34.66,CALIBRATED_EXPLORATION_INFILL
BH-INF-087,MN07,Beldongri,335.06,23.13,335.28,Quartzite,18.0,21.22,33.1,4.03,0.1247,0.4089,0.3323,33.26,CALIBRATED_EXPLORATION_INFILL
BH-INF-088,MN08,Kandri,795.05,225.92,353.78,Quartzite,29.66,19.51,21.62,6.06,0.1421,0.3961,0.278,33.8,CALIBRATED_EXPLORATION_INFILL
BH-INF-089,MN09,Munsar,552.1,643.06,419.5,Quartzite,29.22,22.15,30.79,7.28,0.1333,0.397,0.2936,33.47,CALIBRATED_EXPLORATION_INFILL
BH-INF-090,MN10,Gumgaon,133.1,579.61,378.55,Quartzite,21.66,19.64,29.74,4.68,0.1451,0.4159,0.3333,33.65,CALIBRATED_EXPLORATION_INFILL
BH-INF-091,MN01,Balaghat,361.24,544.43,419.79,Quartzite,24.99,22.14,28.24,9.29,0.1057,0.412,0.3208,32.42,CALIBRATED_EXPLORATION_INFILL
BH-INF-092,MN02,Ukwa,781.0,770.9,343.49,Quartzite,20.62,25.13,29.17,4.01,0.0744,0.3952,0.3213,30.71,CALIBRATED_EXPLORATION_INFILL
BH-INF-093,MN03,Tirodi,449.1,292.35,94.59,Mica Schist,31.5,12.69,26.45,9.5,0.1371,0.3963,0.2182,32.43,CALIBRATED_EXPLORATION_INFILL
BH-INF-094,MN04,Sitapatore,229.37,120.23,120.48,Quartzite,21.05,21.02,27.35,1.94,0.1421,0.4258,0.2796,34.31,CALIBRATED_EXPLORATION_INFILL
BH-INF-095,MN05,Chikla,680.82,363.96,241.5,Mica Schist,31.94,10.15,20.82,8.94,0.1375,0.4095,0.2482,32.2,CALIBRATED_EXPLORATION_INFILL
BH-INF-096,MN06,Dongri Buzurg,940.2,319.85,356.32,Mica Schist,36.38,13.26,21.42,14.8,0.1761,0.4295,0.2733,34.36,CALIBRATED_EXPLORATION_INFILL
BH-INF-097,MN07,Beldongri,390.43,312.96,139.49,Quartzite,18.0,20.99,27.02,2.66,0.1246,0.3918,0.2602,34.28,CALIBRATED_EXPLORATION_INFILL
BH-INF-098,MN08,Kandri,758.37,133.96,235.03,Mica Schist,36.23,12.67,19.06,8.04,0.1638,0.4083,0.2327,32.82,CALIBRATED_EXPLORATION_INFILL
BH-INF-099,MN09,Munsar,521.06,594.89,303.59,Quartzite,28.1,17.69,24.77,6.19,0.1375,0.4306,0.2971,33.12,CALIBRATED_EXPLORATION_INFILL
BH-INF-100,MN10,Gumgaon,229.64,415.86,81.42,Mica Schist,31.83,12.15,23.0,8.88,0.1413,0.3903,0.2175,32.91,CALIBRATED_EXPLORATION_INFILL
BH-INF-101,MN01,Balaghat,279.6,583.44,369.7,Mica Schist,34.05,12.0,30.0,11.73,0.118,0.3963,0.2672,31.84,CALIBRATED_EXPLORATION_INFILL
BH-INF-102,MN02,Ukwa,971.57,768.13,98.67,Quartzite,18.0,21.55,32.64,2.14,0.0819,0.4157,0.2763,31.62,CALIBRATED_EXPLORATION_INFILL
BH-INF-103,MN03,Tirodi,398.69,335.22,176.62,Mica Schist,32.91,15.0,22.63,10.33,0.1491,0.4065,0.2333,32.14,CALIBRATED_EXPLORATION_INFILL
BH-INF-104,MN04,Sitapatore,250.63,293.4,175.59,Quartzite,22.93,24.27,23.69,4.46,0.1241,0.4014,0.2605,33.26,CALIBRATED_EXPLORATION_INFILL
BH-INF-105,MN05,Chikla,816.59,358.62,200.94,Quartzite,18.45,26.27,25.79,4.72,0.1159,0.4155,0.3063,32.51,CALIBRATED_EXPLORATION_INFILL
BH-INF-106,MN06,Dongri Buzurg,980.47,320.9,119.78,Mica Schist,34.15,14.98,22.3,12.45,0.1704,0.4132,0.2269,34.36,CALIBRATED_EXPLORATION_INFILL
BH-INF-107,MN07,Beldongri,289.47,89.52,78.93,Quartzite,23.47,22.46,24.89,3.75,0.1326,0.4073,0.2381,32.48,CALIBRATED_EXPLORATION_INFILL
BH-INF-108,MN08,Kandri,779.03,126.31,366.77,Mica Schist,33.45,13.9,24.68,9.01,0.166,0.4165,0.2654,32.88,CALIBRATED_EXPLORATION_INFILL
BH-INF-109,MN09,Munsar,610.82,668.96,338.97,Quartzite,24.87,22.82,21.73,6.28,0.1289,0.4011,0.3045,32.39,CALIBRATED_EXPLORATION_INFILL
BH-INF-110,MN10,Gumgaon,208.3,492.98,351.95,Mica Schist,30.76,10.27,23.87,7.97,0.1361,0.3764,0.2614,32.1,CALIBRATED_EXPLORATION_INFILL
BH-INF-111,MN01,Balaghat,318.74,438.17,162.38,Quartzite,24.85,20.94,27.15,8.67,0.1125,0.3888,0.2539,32.46,CALIBRATED_EXPLORATION_INFILL
BH-INF-112,MN02,Ukwa,796.57,630.63,74.43,Mica Schist,30.28,12.04,25.78,6.52,0.0937,0.4175,0.2352,29.42,CALIBRATED_EXPLORATION_INFILL
BH-INF-113,MN03,Tirodi,447.77,248.51,410.79,Quartzite,26.06,25.76,23.74,7.84,0.1313,0.3895,0.2978,33.29,CALIBRATED_EXPLORATION_INFILL
BH-INF-114,MN04,Sitapatore,333.77,179.18,74.54,Quartzite,18.0,23.5,28.15,2.74,0.1345,0.4383,0.2859,33.13,CALIBRATED_EXPLORATION_INFILL
BH-INF-115,MN05,Chikla,639.19,410.91,389.67,Mica Schist,32.81,13.33,26.81,8.34,0.1448,0.4075,0.2836,32.58,CALIBRATED_EXPLORATION_INFILL
BH-INF-116,MN06,Dongri Buzurg,1048.6,366.55,372.23,Quartzite,22.41,23.65,27.63,6.79,0.16,0.4111,0.3215,34.99,CALIBRATED_EXPLORATION_INFILL
BH-INF-117,MN07,Beldongri,417.35,122.99,409.85,Quartzite,22.22,21.65,26.86,2.31,0.1305,0.3783,0.2993,32.89,CALIBRATED_EXPLORATION_INFILL
BH-INF-118,MN08,Kandri,658.16,192.94,395.05,Quartzite,23.66,22.55,21.65,4.28,0.131,0.4115,0.3263,33.68,CALIBRATED_EXPLORATION_INFILL
BH-INF-119,MN09,Munsar,593.42,776.23,77.68,Quartzite,18.19,22.59,30.68,2.93,0.1178,0.4103,0.27,33.63,CALIBRATED_EXPLORATION_INFILL
BH-INF-120,MN10,Gumgaon,52.47,360.93,371.09,Quartzite,23.89,20.11,32.48,6.48,0.1344,0.3957,0.3052,34.32,CALIBRATED_EXPLORATION_INFILL
BH-INF-121,MN01,Balaghat,289.2,637.27,175.46,Quartzite,28.61,21.47,26.56,8.73,0.105,0.3814,0.2353,32.05,CALIBRATED_EXPLORATION_INFILL
BH-INF-122,MN02,Ukwa,814.98,680.52,247.04,Mica Schist,33.41,8.49,22.47,7.51,0.0855,0.3722,0.2236,29.87,CALIBRATED_EXPLORATION_INFILL
BH-INF-123,MN03,Tirodi,386.31,280.5,78.3,Mica Schist,33.66,13.17,22.68,9.89,0.1405,0.3921,0.2052,32.95,CALIBRATED_EXPLORATION_INFILL
BH-INF-124,MN04,Sitapatore,128.25,159.07,368.24,Quartzite,23.61,22.38,28.81,5.08,0.1442,0.4198,0.3209,33.07,CALIBRATED_EXPLORATION_INFILL
BH-INF-125,MN05,Chikla,672.35,329.52,225.5,Quartzite,25.17,21.39,28.74,5.17,0.1211,0.3967,0.268,31.4,CALIBRATED_EXPLORATION_INFILL
BH-INF-126,MN06,Dongri Buzurg,954.16,270.32,115.59,Gondite,41.36,12.04,21.06,15.48,0.182,0.4176,0.204,34.44,CALIBRATED_EXPLORATION_INFILL
BH-INF-127,MN07,Beldongri,392.25,249.53,158.43,Quartzite,21.89,21.22,24.87,4.19,0.1225,0.377,0.2494,32.31,CALIBRATED_EXPLORATION_INFILL
BH-INF-128,MN08,Kandri,652.92,192.85,355.4,Quartzite,20.4,23.45,27.11,5.03,0.1429,0.44,0.3527,32.49,CALIBRATED_EXPLORATION_INFILL
BH-INF-129,MN09,Munsar,619.6,662.64,217.98,Quartzite,29.68,16.58,25.63,5.3,0.1226,0.3613,0.2277,33.39,CALIBRATED_EXPLORATION_INFILL
BH-INF-130,MN10,Gumgaon,29.13,345.42,380.32,Quartzite,18.96,25.31,30.81,4.28,0.1389,0.4111,0.3377,33.01,CALIBRATED_EXPLORATION_INFILL
BH-INF-131,MN01,Balaghat,155.76,517.96,361.18,Quartzite,29.7,20.95,19.66,8.62,0.1245,0.4168,0.2955,32.38,CALIBRATED_EXPLORATION_INFILL
BH-INF-132,MN02,Ukwa,841.36,755.74,278.27,Quartzite,27.09,19.07,27.03,4.92,0.085,0.3884,0.2701,29.74,CALIBRATED_EXPLORATION_INFILL
BH-INF-133,MN03,Tirodi,458.53,254.02,305.28,Quartzite,24.97,22.72,25.29,7.83,0.1237,0.3771,0.2771,33.2,CALIBRATED_EXPLORATION_INFILL
BH-INF-134,MN04,Sitapatore,171.32,272.22,407.23,Quartzite,26.83,17.75,26.21,5.29,0.1292,0.3709,0.2828,33.51,CALIBRATED_EXPLORATION_INFILL
BH-INF-135,MN05,Chikla,729.81,421.35,265.62,Quartzite,29.66,21.76,23.29,8.15,0.1152,0.3676,0.24,31.96,CALIBRATED_EXPLORATION_INFILL
BH-INF-136,MN06,Dongri Buzurg,947.0,346.76,130.38,Mica Schist,32.21,11.69,24.83,11.45,0.1686,0.4064,0.2243,34.7,CALIBRATED_EXPLORATION_INFILL
BH-INF-137,MN07,Beldongri,343.87,329.22,322.73,Quartzite,18.0,25.98,24.53,3.37,0.1256,0.4039,0.3219,33.73,CALIBRATED_EXPLORATION_INFILL
